,borough,block,lot,lat,lng,address
8906,Brooklyn,1433,28,40.6762689,-73.9147243,"2170 Atlantic Ave, Brooklyn, NY 11233, USA"
8907,Brooklyn,1434,1,40.6760069,-73.9131157,"2190 Atlantic Ave, Brooklyn, NY 11233, USA"
8908,Brooklyn,1436,36,40.6755037,-73.9073016,"2353 Pacific St, Brooklyn, NY 11233, USA"
8909,Brooklyn,1439,13,40.6757585,-73.918535,"2032 Pacific St, Brooklyn, NY 11233, USA"
8910,Brooklyn,1447,1,40.674504,-73.9164517,"331 Saratoga Ave, Brooklyn, NY 11233, USA"
8911,Brooklyn,1452,5,40.6739929,-73.9191271,"403 Howard Ave, Brooklyn, NY 11233, USA"
8912,Brooklyn,1452,62,40.6735642,-73.917836,"1505 St Marks Ave, Brooklyn, NY 11233, USA"
8913,Brooklyn,1454,54,40.6733888,-73.91209,"1655 St Marks Ave, Brooklyn, NY 11233, USA"
8914,Brooklyn,1458,52,40.6727382,-73.9188415,"1743 Prospect Pl, Brooklyn, NY 11233, USA"
8915,Brooklyn,1463,16,40.6725,-73.9189163,"1740 Prospect Pl, Brooklyn, NY 11233, USA"
8916,Brooklyn,1463,41,Not Found,,
8917,Brooklyn,1465,50,40.6716722,-73.9126794,"1489 E New York Ave, Brooklyn, NY 11212, USA"
8918,Brooklyn,1470,60,40.6703987,-73.9214814,"1677 St Johns Pl, Brooklyn, NY 11233, USA"
8919,Brooklyn,1470,80,40.6704682,-73.9217822,"1661 St Johns Pl, Brooklyn, NY 11233, USA"
8920,Brooklyn,1473,25,40.6696097,-73.9203614,"1449 Eastern Pkwy, Brooklyn, NY 11233, USA"
8921,Brooklyn,1474,56,40.6691871,-73.9184841,"1355 E New York Ave, Brooklyn, NY 11212, USA"
8922,Brooklyn,1475,4,40.6686177,-73.922135,"1389 Eastern Pkwy, Brooklyn, NY 11233, USA"
8923,Brooklyn,1480,23,40.6892356,-73.9225258,"1024 Gates Ave, Brooklyn, NY 11221, USA"
8924,Brooklyn,1482,1,40.688414,-73.9208265,"1396 Broadway, Brooklyn, NY 11221, USA"
8925,Brooklyn,1483,3,40.6873856,-73.9233402,"83 Ralph Ave, Brooklyn, NY 11221, USA"
8926,Brooklyn,1495,1,40.6851599,-73.9174457,"912 Halsey St, Brooklyn, NY 11233, USA"
8927,Brooklyn,1495,13,40.6852417,-73.9166411,"950 Halsey St, Brooklyn, NY 11233, USA"
8928,Brooklyn,1498,6,40.684767,-73.917558,"832 Macon St, Brooklyn, NY 11233, USA"
8929,Brooklyn,1507,32,Not Found,,
8930,Brooklyn,1517,2,40.682327,-73.9114128,"510 Chauncey St, Brooklyn, NY 11233, USA"
